POS_enc,Class_enc,PPG,RPG,APG,SPG,BPG,TOVPG,MPG,GSPG,3PAr,FTr,Drafted
0,0,7.529411764705882,1.6764705882352942,1.3235294117647058,0.38235294117647056,0.029411764705882353,0.6176470588235294,18.647058823529413,0.20588235294117646,0.5024390243902439,0.17073170731707318,0
0,3,9.685714285714285,2.0285714285714285,1.2571428571428571,0.45714285714285713,0.08571428571428572,0.8857142857142857,29.085714285714285,0.7428571428571429,0.5734767025089605,0.16129032258064516,0
0,3,8.193548387096774,3.4838709677419355,2.4516129032258065,1.0,0.7096774193548387,2.3225806451612905,24.322580645161292,0.3548387096774194,0.2656826568265683,0.19557195571955718,0
0,3,15.055555555555555,4.277777777777778,1.9166666666666667,0.6944444444444444,0.027777777777777776,1.8055555555555556,36.52777777777778,1.0,0.7208791208791209,0.16263736263736264,0
2,0,9.71875,8.3125,0.28125,0.59375,1.9375,1.53125,23.375,0.96875,0.0,0.5844748858447488,0
0,0,10.176470588235293,2.5,4.088235294117647,1.1764705882352942,0.029411764705882353,2.176470588235294,34.029411764705884,1.0,0.32450331125827814,0.2947019867549669,0
0,2,13.393939393939394,4.181818181818182,2.090909090909091,1.121212121212121,0.48484848484848486,1.4242424242424243,35.515151515151516,1.0,0.4945945945945946,0.2,0
0,3,11.25,3.5,3.4722222222222223,1.1666666666666667,0.08333333333333333,1.8055555555555556,32.888888888888886,1.0,0.4560810810810811,0.3344594594594595,0
0,2,7.111111111111111,4.055555555555555,2.4166666666666665,1.0277777777777777,0.1388888888888889,1.8888888888888888,25.13888888888889,0.6666666666666666,0.24338624338624337,0.4074074074074074,0
0,2,13.774193548387096,2.193548387096774,3.032258064516129,1.096774193548387,0.12903225806451613,1.6774193548387097,30.70967741935484,1.0,0.5449438202247191,0.15168539325842698,0
1,3,15.823529411764707,6.352941176470588,2.5294117647058822,1.4705882352941178,0.4411764705882353,1.6470588235294117,29.558823529411764,1.0,0.3190883190883191,0.3561253561253561,1
0,2,8.875,5.28125,1.6875,0.9375,0.875,1.375,28.90625,0.84375,0.12735849056603774,0.33490566037735847,0
0,0,17.484848484848484,3.3333333333333335,4.333333333333333,1.9090909090909092,0.21212121212121213,3.727272727272727,33.75757575757576,1.0,0.280561122244489,0.280561122244489,0
1,1,10.264705882352942,4.117647058823529,1.7941176470588236,0.6764705882352942,0.20588235294117646,1.9705882352941178,26.41176470588235,0.9705882352941176,0.4507042253521127,0.3591549295774648,0
0,3,8.972972972972974,2.4324324324324325,5.972972972972973,1.2972972972972974,0.02702702702702703,2.4054054054054053,32.810810810810814,1.0,0.39636363636363636,0.3781818181818182,0
1,3,8.870967741935484,2.774193548387097,1.2258064516129032,0.41935483870967744,0.2903225806451613,0.8709677419354839,22.967741935483872,0.4838709677419355,0.3615023474178404,0.3755868544600939,0
1,1,9.857142857142858,5.071428571428571,1.9285714285714286,0.9285714285714286,0.8571428571428571,2.142857142857143,25.607142857142858,0.39285714285714285,0.29957805907172996,0.3080168776371308,0
0,1,15.38888888888889,3.1666666666666665,4.888888888888889,0.9444444444444444,0.027777777777777776,2.4722222222222223,36.30555555555556,1.0,0.5509259259259259,0.3287037037037037,0
1,2,10.666666666666666,5.96969696969697,1.1515151515151516,0.9696969696969697,0.9393939393939394,1.4545454545454546,31.484848484848484,1.0,0.38686131386861317,0.24087591240875914,0
1,2,19.764705882352942,8.705882352941176,1.6470588235294117,0.9117647058823529,1.6470588235294117,1.8235294117647058,33.088235294117645,1.0,0.3572815533980582,0.2737864077669903,1
0,1,19.76,7.36,1.32,1.44,1.0,1.88,32.88,0.96,0.412532637075718,0.3002610966057441,0
0,0,13.914285714285715,2.142857142857143,2.0,0.8857142857142857,0.05714285714285714,1.4857142857142858,30.485714285714284,0.7428571428571429,0.4373522458628842,0.16784869976359337,0
2,0,7.588235294117647,4.088235294117647,0.2647058823529412,0.11764705882352941,0.7352941176470589,1.588235294117647,14.588235294117647,0.3235294117647059,0.0,0.8176470588235294,0
1,2,13.608695652173912,6.391304347826087,1.9565217391304348,0.30434782608695654,0.8260869565217391,1.391304347826087,27.73913043478261,0.782608695652174,0.5155038759689923,0.28294573643410853,0
1,2,14.461538461538462,8.423076923076923,1.1153846153846154,0.6923076923076923,1.7692307692307692,0.9230769230769231,30.846153846153847,0.9615384615384616,0.016736401673640166,0.6401673640167364,0
1,2,9.09375,5.3125,0.90625,0.53125,0.78125,1.71875,26.875,0.78125,0.5476190476190477,0.10204081632653061,0
0,3,14.06060606060606,4.0,2.090909090909091,0.8484848484848485,0.0,0.8787878787878788,34.42424242424242,1.0,0.6215469613259669,0.3453038674033149,0
0,3,14.083333333333334,3.5555555555555554,2.75,0.6944444444444444,0.16666666666666666,1.9722222222222223,30.0,1.0,0.47417840375586856,0.13380281690140844,0
0,2,19.083333333333332,3.4722222222222223,4.027777777777778,1.8333333333333333,0.027777777777777776,2.8055555555555554,32.77777777777778,1.0,0.5162393162393163,0.3247863247863248,0
1,3,11.28125,6.28125,2.53125,1.21875,0.4375,2.21875,31.46875,1.0,0.10725552050473186,0.41324921135646686,0
0,2,14.052631578947368,2.8947368421052633,4.473684210526316,1.7105263157894737,0.21052631578947367,1.9210526315789473,33.23684210526316,1.0,0.5721153846153846,0.2668269230769231,0
1,2,13.441176470588236,7.176470588235294,1.2352941176470589,1.0294117647058822,0.20588235294117646,2.235294117647059,35.1764705882353,1.0,0.36318407960199006,0.3208955223880597,0
0,1,20.41176470588235,3.176470588235294,2.764705882352941,0.9705882352941176,0.058823529411764705,2.5,31.5,0.9117647058823529,0.5339805825242718,0.2174757281553398,0
1,0,14.71875,7.09375,3.0,1.03125,0.5625,3.0,31.0,0.875,0.33246753246753247,0.3220779220779221,0
0,2,9.692307692307692,3.8846153846153846,1.0384615384615385,0.9230769230769231,0.6153846153846154,1.1923076923076923,18.76923076923077,0.2692307692307692,0.2087912087912088,0.34615384615384615,0
1,3,12.647058823529411,6.088235294117647,2.088235294117647,0.47058823529411764,0.6764705882352942,1.588235294117647,28.88235294117647,1.0,0.058823529411764705,0.35294117647058826,0
1,0,10.53125,6.6875,3.03125,0.9375,0.25,2.25,31.09375,0.9375,0.3745928338762215,0.30944625407166126,0
0,3,17.925925925925927,3.5555555555555554,1.8148148148148149,0.9629629629629629,0.1111111111111111,2.2962962962962963,32.22222222222222,0.2962962962962963,0.582010582010582,0.2857142857142857,0
1,3,11.875,4.5,0.75,0.5625,0.5625,0.9375,32.46875,1.0,0.6917808219178082,0.21232876712328766,0
0,0,11.34375,2.9375,2.1875,1.21875,0.1875,2.1875,32.84375,0.9375,0.5654761904761905,0.16071428571428573,0
0,2,11.970588235294118,1.9705882352941178,5.176470588235294,1.7058823529411764,0.029411764705882353,3.0294117647058822,30.029411764705884,0.9705882352941176,0.6482558139534884,0.21220930232558138,0
1,3,7.794117647058823,6.764705882352941,0.9117647058823529,0.7058823529411765,0.7647058823529411,1.088235294117647,27.5,0.6176470588235294,0.09473684210526316,0.5052631578947369,0
0,0,8.72972972972973,1.6216216216216217,1.972972972972973,0.6486486486486487,0.08108108108108109,1.2432432432432432,23.54054054054054,0.5135135135135135,0.3487544483985765,0.3167259786476868,0
1,2,11.93939393939394,4.545454545454546,3.727272727272727,1.3333333333333333,0.24242424242424243,2.878787878787879,32.42424242424242,0.9696969696969697,0.10238907849829351,0.5324232081911263,0
1,1,13.09375,4.5,0.875,0.3125,0.53125,1.3125,23.71875,0.9375,0.24489795918367346,0.36394557823129253,0
1,2,19.444444444444443,10.305555555555555,1.6944444444444444,1.25,1.0555555555555556,2.3055555555555554,32.638888888888886,1.0,0.17519685039370078,0.4035433070866142,0
1,3,7.368421052631579,5.921052631578948,0.6052631578947368,0.15789473684210525,0.5,1.0789473684210527,18.157894736842106,0.47368421052631576,0.0,0.4666666666666667,0
0,3,14.833333333333334,2.2777777777777777,5.333333333333333,1.1111111111111112,0.027777777777777776,1.6944444444444444,32.5,1.0,0.37280701754385964,0.24342105263157895,0
0,3,7.787878787878788,4.96969696969697,3.0606060606060606,0.9696969696969697,0.09090909090909091,2.303030303030303,22.96969696969697,0.48484848484848486,0.29535864978902954,0.42616033755274263,0
0,3,16.764705882352942,3.088235294117647,4.117647058823529,0.9411764705882353,0.08823529411764706,2.264705882352941,35.088235294117645,1.0,0.5570175438596491,0.21929824561403508,0
0,1,15.470588235294118,2.6470588235294117,2.764705882352941,1.0,0.23529411764705882,2.0,31.705882352941178,0.9705882352941176,0.6278481012658228,0.28860759493670884,0
1,3,8.823529411764707,6.4411764705882355,1.7647058823529411,1.1470588235294117,0.4117647058823529,1.4411764705882353,31.235294117647058,1.0,0.4772727272727273,0.24675324675324675,0
0,3,12.28125,4.0,2.46875,1.28125,0.40625,1.5,33.875,1.0,0.5579268292682927,0.22865853658536586,0
0,1,9.5,2.53125,3.1875,0.84375,0.15625,2.21875,30.4375,0.96875,0.5440613026819924,0.20689655172413793,0
0,2,9.088235294117647,2.676470588235294,2.3529411764705883,0.8823529411764706,0.058823529411764705,2.088235294117647,24.470588235294116,0.4117647058823529,0.30514705882352944,0.3382352941176471,0
0,0,11.848484848484848,3.3636363636363638,2.212121212121212,1.0606060606060606,0.030303030303030304,2.696969696969697,29.515151515151516,1.0,0.2798507462686567,0.4552238805970149,0
1,3,8.566666666666666,4.066666666666666,1.1,0.9333333333333333,0.5333333333333333,1.6,24.566666666666666,0.9333333333333333,0.35911602209944754,0.32044198895027626,0
